"type","duration","time"
"NDN","38","7:49:54 PM"
"NDN","14","7:49:54 PM"
"NDN","38","7:49:54 PM"
"NDN","40","7:49:54 PM"
"NDN","37","7:49:55 PM"
"NDN","69","7:49:56 PM"
"NDN","51","7:49:56 PM"
"NDN","51","7:49:56 PM"
"NDN","40","7:49:56 PM"
"AI","59","7:49:56 PM"
"NDN","59","7:49:57 PM"
"NDN","49","7:49:57 PM"
"NDN","56","7:49:59 PM"
"NDN","40","7:50:00 PM"
"NDN","63","7:50:01 PM"
"NDN","37","7:50:01 PM"
"NDN","48","7:50:02 PM"
"NDN","38","7:50:02 PM"
"NDN","55","7:50:02 PM"
"NDN","87","7:50:06 PM"
"NDN","42","7:50:06 PM"
"NDN","40","7:50:07 PM"
"NDN","32","7:50:07 PM"
"NDN","54","7:50:07 PM"
"NDN","36","7:50:08 PM"
"AI","161","7:50:09 PM"
"NDN","56","7:50:09 PM"
"NDN","43","7:50:09 PM"
"NDN","22","7:50:09 PM"
"AI","78","7:50:09 PM"
"NDN","58","7:50:10 PM"
"NDN","39","7:50:10 PM"
"NDN","37","7:50:11 PM"
"NDN","3","7:50:11 PM"
"NDN","43","7:50:11 PM"
"NDN","47","7:50:11 PM"
"NDN","67","7:50:11 PM"
"NDN","36","7:50:11 PM"
"NDN","39","7:50:12 PM"
"NDN","40","7:50:13 PM"
"NDN","40","7:50:13 PM"
"NDN","40","7:50:13 PM"
"NDN","42","7:50:14 PM"
"AI","143","7:50:29 PM"
"AI","67","7:50:37 PM"
"AI","65","7:50:43 PM"
"AI","52","7:50:45 PM"
"AI","73","7:50:45 PM"
"AI","64","7:50:46 PM"
